gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7458510;Arvika Myrstacken;84046;Arvika Myrstacken;Arvika Myrstacken;;;;;
7458774;Arvika Myråsvägen 12;84361;Arvika Myråsvägen 12;Arvika Myråsvägen 12;;;;;
7458748;Arvika Norra Esplanaden;84335;Arvika Norra Esplanaden;Arvika Norra Esplanaden;;;;;
7458605;Arvika Norra Kinna;84160;Arvika Norra Kinna;Arvika Norra Kinna;;;;;
7458778;Arvika Nypongatan;84365;Arvika Nypongatan;Arvika Nypongatan;;;;;
7458513;Arvika Parkgatan;84049;Arvika Parkgatan;Arvika Parkgatan;;;;;
7458646;Arvika Polishuset;84208;Arvika Polishuset;Arvika Polishuset;;;;;
7458515;Arvika Porsgatan;84051;Arvika Porsgatan;Arvika Porsgatan;;;;;
7458650;Arvika Rackstadmuseet;84213;Arvika Rackstadmuseet;Arvika Rackstadmuseet;;;;;
7458518;Arvika Rackstavägen;84054;Arvika Rackstavägen;Arvika Rackstavägen;;;;;
7458779;Arvika Rosendalsvägen;84403;Arvika Rosendalsv;Arvika Rosendalsv;;;;;
7465401;Arvika Rosendalsvägen;84366;Arvika Rosendalsvägen;Arvika Rosendalsvägen;;;;;
7458796;Arvika Rösheimsvägen;84385;Arvika Rösheimsvägen;Arvika Rösheimsvägen;;;;;
7458519;Arvika sjukhus huvudentr;84055;Arvika sjukhus huvudentrén;Arvika sjukhus huvudentrén;;;;;
7458520;Arvika sjukhus personalingång;84056;Arvika sjukhuset personalingång;Arvika sjukhuset personalingång;;;;;
7458744;Arvika Skepparegatan;84331;Arvika Skepparegatan;Arvika Skepparegatan;;;;;
7458773;Arvika Skogsstigen;84360;Arvika Skogsstigen;Arvika Skogsstigen;;;;;
7458663;Arvika Sluttningen;84232;Arvika Sluttningen;Arvika Sluttningen;;;;;
7434869;Arvika Smedberg;;;;;;;;
7425772;Arvika Smedjan;84059;Arvika Smedjan;Arvika Smedjan;;;;;
7458777;Arvika Smultrongatan;84364;Arvika Smultrongatan;Arvika Smultrongatan;;;;;
7458793;Arvika Solviksvägen 11;84381;Arvika Solviksvägen 11;Arvika Solviksvägen 11;;;;;
7458791;Arvika Solviksvägen 17;84378;Arvika Solviksvägen 17;Arvika Solviksvägen 17;;;;;
7458792;Arvika Solviksvägen 43;84379;Arvika Solviksvägen 43;Arvika Solviksvägen 43;;;;;
7458770;Arvika Solvändsgatan 1;84357;Arvika Solvändsgatan 1;Arvika Solvändsgatan 1;;;;;
7458527;Arvika Stadsparken;84063;Arvika Stadsparken;Arvika Stadsparken;;;;;
7400221;Arvika station;84032;Arvika järnvägsstationen;Arvika järnvägsstationen;;;;;
7443298;Arvika Stefans väg;84193;Arvika Stefans väg;Arvika Stefans väg;;;;;
7458789;Arvika Stenrikevägen 20;84376;Arvika Stenrikevägen 20;Arvika Stenrikevägen 20;;;;;
7458790;Arvika Stenrikevägen 36;84377;Arvika Stenrikevägen 36;Arvika Stenrikevägen 36;;;;;
7458483;Arvika Swegon;84018;Arvika Swegon;Arvika Swegon;;;;;
7458678;Arvika Symfonivägen;84253;Arvika Symfonivägen;Arvika Symfonivägen;;;;;
7458531;Arvika Sågudden;84067;Arvika Sågudden;Arvika Sågudden;;;;;
7458786;Arvika Sävsjöbäcken;84373;Arvika Sävsjöbäcken;Arvika Sävsjöbäcken;;;;;
7458768;Arvika Södra Kinna;84355;Arvika Södra Kinna;Arvika Södra Kinna;;;;;
7458782;Arvika Taserudsgatan 8;84369;Arvika Taserudsgatan 8;Arvika Taserudsgatan 8;;;;;
7458535;Arvika Taserudsgymnasie;84071;Arvika Taserudsgymnasiet;Arvika Taserudsgymnasiet;;;;;
7458688;Arvika Tingshuset;84265;Arvika Tingshuset;Arvika Tingshuset;;;;;
7458751;Arvika Tjäderstigen;84338;Arvika Tjäderstigen;Arvika Tjäderstigen;;;;;
7458538;Arvika Tobaken;84074;Arvika Tobaken;Arvika Tobaken;;84075;Arvika Torget;Arvika Torget;
7458739;Arvika Tornstigen;84326;Arvika Tornstigen;Arvika Tornstigen;;83057;Asplundsskolan Hagfors;Asplundsskolan Hagfors;
7458690;Arvika Tranbärsvägen;84267;Arvika Tranbärsvägen;Arvika Tranbärsvägen;;;;;
7458788;Arvika Trastgatan;84375;Arvika Trastgatan;Arvika Trastgatan;;;;;
7458536;Arvika Verken;84072;Arvika Verken;Arvika Verken;;;;;
7458542;Arvika Verkstaden;84079;Arvika Verkstaden;Arvika Verkstaden;;;;;
7458697;Arvika Viksgården;84276;Arvika Viksgården;Arvika Viksgården;;;;;
7458543;Arvika Vildrosgatan;84080;Arvika Vildrosgatan;Arvika Vildrosgatan;;;;;
7458676;Arvika Vildrosgatan vän;84248;Arvika Vildrosgatan vändplan;Arvika Vildrosgatan vändplan;;;;;
7458763;Arvika Wallinsvägen;84350;Arvika Wallinsvägen;Arvika Wallinsvägen;;;;;
7457440;Askersbyvägen;66001;Askersbyvägen;Askersbyvägen;;;;;
7457064;Aspbergsvägen;37006;Aspbergsvägen;Aspbergsvägen;;;;;
7459063;Asphyttan;82002;Asphyttan;Asphyttan;;;;;
7422308;Asphyttan Bygdegård;82118;Asphyttan Bygdegården;Asphyttan Bygdegården;;;;;
7464305;Asphyttegatan Filipstad;;;;;;;;
7457186;Asphyttevägen;60001;Asphyttevägen;Asphyttevägen;;;;;
