gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7457989;Edstorp;81034;Edstorp;Edstorp;;;;;
7400803;Edsvalla busstation;;;;;;;;
7457814;Edsvalla Dalsängsvägen;80469;Edsvalla Dalsängsvägen;Edsvalla Dalsängsvägen;80467;Edsvalla (Konsum);Edsvalla (Konsum);;
7457812;Edsvalla Dynvägen;80465;Edsvalla Dynvägen;Edsvalla Dynvägen;;;;;
7457815;Edsvalla Hasselvägen;;;;;;;;
7457816;Edsvalla Hedlunds väg;80471;Edsvalla Hedlunds Väg;Edsvalla Hedlunds Väg;;;;;
7457817;Edsvalla Tjärdalsvägen;80472;Edsvalla Tjärdalsvägen;Edsvalla Tjärdalsvägen;;;;;
7457818;Edsvalla Änglidsvägen;80473;Edsvalla Änglidsvägen;Edsvalla Änglidsvägen;;;;;
7410270;Edsvalla övre bruket;80474;Edsvalla Övre Bruket;Edsvalla Övre Bruket;;;;;
7456933;Ekbacken;15005;Ekbacken;Ekbacken;;;;;
7422340;Ekenäs;85022;Ekenäs;Ekenäs;;;;;
7458262;Eknäs;82014;Eknäs;Eknäs;;;;;
7458358;Ekshärad Bellmansgården;83027;Ekshärad Bellmansgården;Ekshärad Bellmansgården;;;;;
7422353;Ekshärad Byn;83028;Ekshärad Byn;Ekshärad Byn;;;;;
7458455;Ekshärad Bynvägen;83178;Ekshärad Bynvägen;Ekshärad Bynvägen;;;;;
7424616;Ekshärad Bynäset;83029;Ekshärad Bynäset;Ekshärad Bynäset;;;;;
7400805;Ekshärad centrum;83026;Ekshärad Centrum;Ekshärad Centrum;;;;;
7458460;Ekshärad Hökborgen;83183;Ekshärad Hökborgen;Ekshärad Hökborgen;;;;;
7458360;Ekshärad Kyrkheden;83031;Ekshärad Kyrkheden;Ekshärad Kyrkheden;;;;;
7458361;Ekshärad Nygård;83032;Ekshärad Nygård;Ekshärad Nygård;;83114;Ekshärads vårdcentral;Ekshärads vårdcentral;
7457411;Elofsbyn;65009;Elofsbyn;Elofsbyn;;30019;Elgestad;Elgestad;
7457446;Elofsrud;66013;Elofsrud;Elofsrud;;80612;Engelska skolan;Engelska skolan;
7425765;Emterud;30020;Emterud;Emterud;;;;;
7457192;England;60011;England;England;;;;;
7457073;Ennarbol;37021;Ennarbol;Ennarbol;;;;;
7457330;Enåsen;63012;Enåsen;Enåsen;;;;;
7457991;Eriksbol;81036;Eriksbol;Eriksbol;;;;;
7404316;Eskilsäter kyrka;85023;Eskilsäters kyrka;Eskilsäters kyrka;;;;;
7457095;Fagerbergsvägen;37056;Fagerbergsvägen;Fagerbergsvägen;;15009;Fagerås Bangatan;Fagerås Bangatan;
7457412;Fagervik;65010;Fagervik;Fagervik;;;;;
7418256;Fagerås;15006;Fagerås;Fagerås;;;;;
7423483;Fagerås bytespunkt;15007;Fagerås bytespunkt;Fagerås bytespunkt;;15011;Fagerås Ängsvägen;Fagerås Ängsvägen;
7464348;Fagerås Järnvägsgatan;15069;Fagerås Järnvägsgatan;Fagerås Järnvägsgatan;;;;;
7400426;Fagerås station;15008;Fagerås station;Fagerås station;;;;;
7457992;Fageråsen;81037;Fageråsen (Ölme);Fageråsen (Ölme);;;;;
7422311;Falla;81038;Falla (VTAB);Falla (VTAB);;;;;
7465421;Fallet;84407;Fallet;Fallet;;;;;
7457193;Falletvägen;60012;Falletvägen;Falletvägen;;;;;
7457821;Farsjön;80479;Farsjön;Farsjön;;;;;
7457447;Fasterud;66014;Fasterud (Östra Ämtervik);Fasterud (Östra Ämtervik);;;;;
7410321;Fastnäs;37022;Fastnäs;Fastnäs;;;;;
7422258;Fensbol;37023;Fensbol;Fensbol;;;;;
7458261;Filipstad Bergsskolan;82026;Filipstad Asphyttegatan;Filipstad Asphyttegatan;;;;;
7410325;Filipstad busstation;82013;Filipstad Bergsskolan;Filipstad Bergsskolan;;;;;
7424626;Filipstad Ferlinskolan;82021;Filipstad Ferlinskolan;Filipstad Ferlinskolan;;;;;
7458329;Filipstad Flottuvevägen;82119;Filipstad Flottuvevägen;Filipstad Flottuvevägen;;;;;
7465398;Filipstad Industrivägen;82033;Filipstad Industrivägen;Filipstad Industrivägen;;;;;
7458265;Filipstad Lasarettet;82031;Filipstad Lasarettet;Filipstad Lasarettet;;;;;
7458299;Filipstad Munkebergs Ca;82080;Filipstad Munkebergs Camping;Filipstad Munkebergs Camping;;;;;
7424627;Filipstad OK;82029;Filipstad OK;Filipstad OK;;;;;
7465397;Filipstad Rosinco;82032;Filipstad Rosinco;Filipstad Rosinco;;;;;
7465396;Filipstad Samhall;82030;Filipstad Samhall;Filipstad Samhall;;;;;
7464306;Filipstad Spångbergsväge;82025;Filipstad Spångbergsvägen;Filipstad Spångbergsvägen;;;;;
7458330;Filipstad Wasabröd;82120;Filipstad Wasabröd;Filipstad Wasabröd;;;82020;Filipstads bussterminal;Filipstads bussterminal
7458327;Filipstad Åsenvägen;82116;Filipstad Åsenvägen;Filipstad Åsenvägen;;;82000;Filipstads vårdcentral;Filipstads vårdcentral
7450748;Finnbergsvägen;;;;;;;;
7410329;Finnebäck;84117;Finnebäck;Finnebäck;;;;;
7458266;Finngården;82038;Finngården;Finngården;;;;;
7410333;Finntorp;65011;Finntorp;Finntorp;;;;;
7425737;Fisekvik;84118;Fiskevik (Arvika);Fiskevik (Arvika);;;;;
7458835;Fiskarberget;85046;Fiskarberget;Fiskarberget;;;;;
7410336;Fiskevik;61027;Fiskevik (Hammarö);Fiskevik (Hammarö);;;;;
7457305;Fiskeviksvägen;61095;Fiskeviksvägen;Fiskeviksvägen;;;;;
7450780;Fjällbo;98001;Fjällbo;Fjällbo;;;;;
7410350;Flogned;30021;Flogned;Flogned;;;;;
7422342;Flokerud;64004;Flokerud;Flokerud;;;;;
7458573;Flygplatsen;84119;Flygplatsen;Flygplatsen;;;;;
7400375;Forshaga centrum;63013;Forshaga centrum;Forshaga centrum;;;;;
7422230;Forshaga Grossbol;63014;Forshaga Grossbol;Forshaga Grossbol;;;;;
7457331;Forshaga kyrka;63015;Forshaga Kyrka;Forshaga Kyrka;;;63032;Forshaga vårdcentral;Forshaga vårdcentral
7457332;Forshaga Petruskorset;63016;Forshaga Petruskorset;Forshaga Petruskorset;;;;;
7425764;Forshaga Sisugården;63017;Forshaga Sisugården;Forshaga Sisugården;;;;;
7404311;Forshaga Skived Konsum Närköp;;;;;;;;
7425599;Forshaga Ånäs;;;;;;;;
7457333;Forshaga Ängevi;63018;Forshaga Ängevi;Forshaga Ängevi;;;;;
7410366;Forshyttan;82041;Forshyttan;Forshyttan;;;;;
7458269;Forshyttan skolan;82042;Forshyttan skolan;Forshyttan skolan;;;;;
7457334;Forsnor;63019;Forsnor (Forshaga);Forsnor (Forshaga);;;;;
7410367;Forsnäs;80481;Forsnäs (Alster);Forsnäs (Alster);;;;;
7457823;Forsnäs;66015;Forsnäs (Gräsmark);Forsnäs (Gräsmark);;;;;
7457449;Forsängen;66016;Forsängen;Forsängen;;;;;
7456935;Framgården;15012;Framgården (Gunnita);Framgården (Gunnita);;;;;
7457011;Framgården;30022;Framgården (Hovilsrud);Framgården (Hovilsrud);;;;;
7410370;Framnäs;83035;Framnäs;Framnäs;;;;;
7458270;Franstorp;82043;Franstorp;Franstorp;;;;;
7456970;Freden;15057;Freden;Freden;;;;;
7410373;Fredros;84121;Fredros;Fredros;;;;;
7457194;Fridhem;60013;Fridhem (VTAB);Fridhem (VTAB);;;;;
7457994;Frosterudsvägen;81039;Frosterudsvägen;Frosterudsvägen;;;;;
7404317;Frykenstrand;66017;Frykenstrand;Frykenstrand;;;;;
7456936;Frykerudsvägen;15013;Frykerudsvägen;Frykerudsvägen;;;;;
7456937;Frykforsen;15014;Frykforsen;Frykforsen;;;;;
7401419;Frykåsen station;15015;Frykåsens station;Frykåsens station;;;;;
7458576;Fröbol;84123;Fröbol;Fröbol;;;;;
7458732;Frödings sten;84319;Frödings sten;Frödings sten;;;;;
7451284;Frödingsvägen;;;;;;;;
7457195;Frövetterstorpsvägen;60014;Frövetterstorpsvägen;Frövetterstorpsvägen;;;;;
7432906;Furskog;65077;Furskog;Furskog;;;;;
7458733;Furtan;84320;Furtan;Furtan;;;;;
7422294;Furtan väg 61;84124;Furtan rv 61;Furtan rv 61;;;;;
7457237;Furuvik;60093;Furuvik;Furuvik;;80483;Färjestadsskolan;Färjestadsskolan;
7457413;Fälltakan;65012;Fälltakan;Fälltakan;;;;;
7465394;Färnsviken;80739;Färnsviken;Färnsviken;;;;;
7410405;Fölsbyn;65013;Fölsbyn;Fölsbyn;;;;;
7457450;Fölsvik;66018;Fölsvik;Fölsvik;;;;;
7457335;Förby;63020;Förby;Förby;;;;;
7458271;Gamla Kroppavägen;82044;Gamla Kroppavägen;Gamla Kroppavägen;;;;;
7457957;Gamla skolan;;;;;;;;
7410412;Gaperhult;85026;Gaperhult;Gaperhult;;;;;
7422312;Gatan;83187;Gatan (Ekshärad);Gatan (Ekshärad);;;;;
7458464;Gatan;81045;Gatan (Kristinehamn);Gatan (Kristinehamn);;;;;
7458241;Gaterud;81428;Gaterud;Gaterud;;;;;
7410420;Geijersholm;83036;Geijersholm;Geijersholm;;;;;
7410421;Gelleråsen södra;87048;Gelleråsen södra;Gelleråsen södra;;;;;
7457308;Gersby;62001;Gersby;Gersby;;;;;
7422362;Gersheden;62002;Gersheden;Gersheden;;;;;
7457826;Getebol;80484;Getebol;Getebol;;;;;
7457263;Geterud;61029;Geterud;Geterud;;;;;
7457451;Gettjärn;66019;Gettjärn;Gettjärn;;;;;
7410426;Gettjärn handel;66020;Gettjärns handel;Gettjärns handel;;;;;
7458820;Gillberga;85027;Gillberga;Gillberga;;;;;
7458577;Gillserud;84125;Gillserud;Gillserud;;;;;
7422332;Gisselbacka;81047;Gisselbacka;Gisselbacka;;;;;
7458003;Gisslegården;81048;Gisslegården;Gisslegården;;;;;
7458363;Gjutberg;83037;Gjutberg;Gjutberg;;;;;
7458578;Glava kyrka;84126;Glava kyrka;Glava kyrka;;;;;
7458624;Glava Lövåsen;84181;Glava Lövåsen;Glava Lövåsen;;;;;
7410434;Glava Macken;84127;Glava Macken;Glava Macken;;81049;Golfbanan (Kristinehamn);Golfbanan (Kristinehamn);
7458537;Glava skola;84073;Glava skola;Glava skola;;;;;
7449876;Gottebol;87049;Gottebol;Gottebol;;37165;Granevikskorset;Granevikskorset;
7457452;Granbäck;66021;Granbäck (Gräsmark);Granbäck (Gräsmark);;;;;
7458888;Granbäck;85111;Granbäck (Nysäter);Granbäck (Nysäter);;80174;Grava kyrka;Grava kyrka;
7422263;Granbäckstorp;66022;Granbäckstorp;Granbäckstorp;;;;;
7457084;Granevik;37041;Granevik;Granevik;;;;;
7457516;Granhult;66116;Granhult (Gräsmark);Granhult (Gräsmark);;;;;
7458364;Graninge;83038;Graninge (Sunnemo);Graninge (Sunnemo);;;;;
7458365;Graningevägen;83039;Graningevägen;Graningevägen;;;;;
7457453;Gravavägen;66023;Gravavägen;Gravavägen;;;;;
7457828;Gravdalen;80489;Gravdalen;Gravdalen;;;;;
7458006;Grenviken;81051;Grenviken;Grenviken;;;;;
7410457;Grinnemo;66024;Grinnemo (Gräsmark);Grinnemo (Gräsmark);;;;;
7457374;Grums Billerudshallen;64010;Grums Billerudshallen;Grums Billerudshallen;;;;;
7457400;Grums Björknäsgatan;64051;Grums Björknäsgatan;Grums Björknäsgatan;;;;;
7424629;Grums E18 Gruvön;64007;Grums E 18 Gruvön;Grums E 18 Gruvön;;;;;
7425740;Grums Ebenserbacken;64011;Grums Ebeneserbacken;Grums Ebeneserbacken;;;;;
7425742;Grums Edsholmsgatan;64012;Grums Edsholmsgatan;Grums Edsholmsgatan;;;;;
7425739;Grums fritidsgården;64013;Grums Fritidsgården;Grums Fritidsgården;;;;;
7457371;Grums Gamla Slottsbron;64005;Grums Gamla Slottsbron;Grums Gamla Slottsbron;;;;;
7425738;Grums Grönberg;64024;Grums Grönberg;Grums Grönberg;;;;;
7425741;Grums Hotellgatan;64014;Grums Hotellgatan;Grums Hotellgatan;;;;;
7457375;Grums Industrigatan;64015;Grums Industrigatan;Grums Industrigatan;;;;;
7457376;Grums Järpegatan;64016;Grums Järpegatan;Grums Järpegatan;;;;;
7457385;Grums Karlberg;64026;Grums Karlberg;Grums Karlberg;;;;;
7457377;Grums Kommunkontoret;64017;Grums Kommunkontoret;Grums Kommunkontoret;;;;;
7425736;Grums kyrka;64008;Grums kyrka;Grums kyrka;;;;;
7457378;Grums Ljunggatan;64018;Grums Ljunggatan;Grums Ljunggatan;;;;;
7449131;Grums Nyängen;64037;Grums Nyängen;Grums Nyängen;;;;;
7422336;Grums Orrby;64020;Grums Orrby;Grums Orrby;;;;;
7457380;Grums Solbergsgatan;64021;Grums Solbergsgatan;Grums Solbergsgatan;;;;;
7400217;Grums station;64006;Grums resecentrum;Grums resecentrum;;;;;
7457381;Grums Tömtebacken;64022;Grums Tömtebacken;Grums Tömtebacken;;;;;
7457382;Grums Vårdcentral;64023;Grums Vårdcentral;Grums Vårdcentral;;64059;Grums vårdcentral G:a vägen;Grums vårdcentral G:a vägen;
7410461;Grundsjön;82045;Grundsjön;Grundsjön;;;;;
7422252;Grundsäter;37026;Grundsäter;Grundsäter;;81052;Gränsen;Gränsen;
7458272;Gruvgatan;82046;Gruvgatan (VTAB);Gruvgatan (VTAB);;;;;
7410467;Gränsjön;84128;Gränsjön;Gränsjön;;;;;
7410470;Gräs Missionshuset;83041;Gräs Missionshuset;Gräs Missionshuset;;80614;Gräsdalen;Gräsdalen;
7410472;Gräsmark gård;66132;Gräsmarks gård;Gräsmarks gård;;;;;
7400806;Gräsmark kyrka;66025;Gräsmark kyrka;Gräsmark kyrka;;;;;
7457514;Gräsmark Kyrkogatan;66114;Gräsmark Kyrkogatan;Gräsmark Kyrkogatan;;;;;
7464308;Gräsås;80736;Gräsås;Gräsås;;;;;
7457829;Gräsåsholmen;80491;Gräsåsholmen;Gräsåsholmen;;;;;
7457830;Gräsåsvägen;80492;Gräsåsvägen;Gräsåsvägen;;;;;
7425762;Grönäsberg;83042;Grönäsberg;Grönäsberg;;;;;
7458580;Gullsbyvägen;84130;Gullsbyvägen;Gullsbyvägen;;;;;
7422344;Gullsjö;64025;Gullsjö;Gullsjö;;;;;
7400223;Gullspång busstation;88000;Gullspångs busstation;Gullspångs busstation;;;;;
7410485;Gumhöjden;83043;Gumhöjden;Gumhöjden;;;;;
7456971;Gunnarsby;15058;Gunnarsby;Gunnarsby;;;;;
7458581;Gunnarskog Gunnebo;84131;Gunnarskog Gunnebo;Gunnarskog Gunnebo;;;;;
7410556;Gunnarskog Järvenskolan;84149;Gunnarskog Järvenskolan;Gunnarskog Järvenskolan;;;;;
7410489;Gunnarskog Stommen;;;;;;;;
7458666;Gunnarskogs kyrka;84237;Gunnarskogs kyrka;Gunnarskogs kyrka;;61010;Gunnarskär;Gunnarskär;
7410491;Gunnerud;83044;Gunnerud (Edebäck);Gunnerud (Edebäck);;;;;
7422341;Gunnerud;85030;Gunnerud (Eskilsäter);Gunnerud (Eskilsäter);;;;;
7456940;Gunnita;15017;Gunnita;Gunnita;;;;;
7458465;Gustaf;83188;Gustaf;Gustaf;;;;;
7422183;Gustavsfors;94001;Gustavsfors affär;Gustavsfors affär;;83045;Gustavsfors (hgf kn);Gustavsfors (hgf kn);
7458368;Gustavsfors Hembygdsgår;83046;Gustavsfors Hembygdsgård;Gustavsfors Hembygdsgård;;;;;
7458385;Gustavsfors Hyttbacken;83072;Gustavsfors Hyttbacken;Gustavsfors Hyttbacken;;;;;
7458369;Gustavsfors skola;83047;Gustavsfors skola;Gustavsfors skola;;;;;
7425769;Gustavsvik;;;;;;;;
7458885;Guttane;85108;Guttane;Guttane;;;;;
7457257;Gårdsvägen;61015;Gårdsvägen;Gårdsvägen;;;;;
7458506;Gårdsås;84042;Gårdsås;Gårdsås;;1029;Göteborg Central;Göteborg Central;
7458582;Gårdsåsvägen;84132;Gårdsåsvägen;Gårdsåsvägen;;;;;
7458273;Gåsbornsvägen;82047;Gåsbornsvägen;Gåsbornsvägen;;;;;
7458274;Gåstjärn;82048;Gåstjärn;Gåstjärn;;;;;
7457196;Gäddtjärn;60016;Gäddtjärn;Gäddtjärn;;;;;
7457831;Gökhöjden;80494;Gökhöjden (Vålberg);Gökhöjden (Vålberg);;;;;
7456941;Gönäsvägen;15019;Gönäsvägen;Gönäsvägen;;;;;
7422284;Gördsbyn;84133;Gördsbyn;Gördsbyn;;;;;
7458823;Gösta Krog;85031;Gösta Krog;Gösta Krog;;;;;
7457264;Götavägen;61031;Götavägen (Hammarö);Götavägen (Hammarö);;80630;Hagahuset;Hagahuset;
7458370;Haftersbol;83048;Haftersbol;Haftersbol;;30025;Haganäset;Haganäset;
7457012;Haga;66072;Haga ( Västra Ämtervik);Haga ( Västra Ämtervik);;;;;
7457481;Haga;30024;Haga (Eda);Haga (Eda);;;;;
7422281;Hagen;63021;Hagen;Hagen;;;;;
7438227;Hagfors Asplundsskolan;;;;;;;;
7458372;Hagfors Björkliden;83052;Hagfors Björkliden;Hagfors Björkliden;;;;;
7400376;Hagfors busstation;83049;Hagfors busstation;Hagfors busstation;;;;;
7458373;Hagfors Hagälven;83054;Hagfors Hagälven;Hagfors Hagälven;;;;;
7458374;Hagfors Hagälvsvägen;83055;Hagfors Hagälvsvägen;Hagfors Hagälvsvägen;;;;;
7458375;Hagfors Hotellet;83056;Hagfors Hotellet;Hagfors Hotellet;;;;;
7422366;Hagfors Kärråsen;83058;Hagfors Polishuset;Hagfors Polishuset;;;;;
7422367;Hagfors Polishuset;83059;Hagfors Stjärnsnäset;Hagfors Stjärnsnäset;;;;;
7458376;Hagfors Stjärnsnäset;83060;Hagfors Sättraskolan;Hagfors Sättraskolan;;;;;
7458377;Hagfors Sättraskolan;83030;Hagfors vårdcentral;Hagfors vårdcentral;;;;;
7435991;Hagfors ÄBC;83190;Hagfors ÄBC;Hagfors ÄBC;;;;;
7458378;Hagfors Ängfallheden;83062;Hagfors Ängfallheden;Hagfors Ängfallheden;;;;;
7422251;Hagtorp;37027;Hagtorp;Hagtorp;;;;;
7457414;Hajom;65014;Hajom;Hajom;;;;;
7410521;Hallanda;85032;Hallanda;Hallanda;;;;;
7404303;Hallebol;30026;Hallebol;Hallebol;31000;Hallsberg Jvstn;Hallsberg Jvstn;;
7435993;Hallersrudsvägen Lövnäs;61018;Hallersrudsvägen;Hallersrudsvägen;;;;;
7458824;Hallerudsvägen;85033;Hallerudsvägen (Kila);Hallerudsvägen (Kila);;;;;
7457258;Hambovägen;61017;Hambovägen;Hambovägen;;;;;
7458825;Hammar;85034;Hammar (Värmlandsbro);Hammar (Värmlandsbro);;;;;
7436018;Hammar Lövnäsleden;61014;Hammar Lövnäsleden;Hammar Lövnäsleden;;;;;
7436019;Hammarlunden Lövnäslede;61016;Hammarlunden Lövnäsleden;Hammarlunden Lövnäsleden;;;;;
7420972;Hammarn;98004;Hammarn;Hammarn;;;;;
7458909;Hammarsjö;85135;Hammarsjö;Hammarsjö;;;;;
7457270;Hammarö Hammarögymnasie;61039;Hammarögymnasiet;Hammarögymnasiet;;;;;
7410536;Hamra;83063;Hamra;Hamra;;;;;
7456947;Hannäsvägen;15029;Hannäsvägen;Hannäsvägen;;;;;
7410542;Hara;83064;Hara;Hara;;;;;
7422364;Harkevål;15020;Harkevål;Harkevål;;;;;
7410548;Harnäs;65015;Harnäs;Harnäs;;;;;
7457832;Hasselbol;80498;Hasselbol (Vallargärdet);Hasselbol (Vallargärdet);;;;;
7457232;Hedbergsgården;60087;Hedbergsgården;Hedbergsgården;;;;;
7458225;Hedbotten;81412;Hedbotten;Hedbotten;;;;;
7457337;Hedegården;63022;Hedegården;Hedegården;;;;;
7458380;Hedegårds pensionat;83065;Hedegårds pensionat;Hedegårds pensionat;;;;;
7458226;Hedehultsvägen;81413;Hedehultsvägen;Hedehultsvägen;;;;;
7458275;Heden;82049;Heden (Nordmark);Heden (Nordmark);;;;;
7458381;Heden;83066;Heden (Råda);Heden (Råda);;;;;
7422326;Hedetången;80499;Hedetången;Hedetången;;;;;
7457338;Hedås;63023;Hedås (Skived);Hedås (Skived);;;;;
7457864;Herråvägen;80568;Herråvägen;Herråvägen;;;;;
7410579;Hillringsberg;84136;Hillringsberg;Hillringsberg;;;;;
7410594;Hjältin;83067;Hjältin;Hjältin;;;;;
7458382;Hole;83068;Hole (VTAB);Hole (VTAB);;;;;
7449296;Hollsby;62022;Hollsby;Hollsby;;;;;
7422208;Holmedal E18;65016;Holmedal E18;Holmedal E18;;;;;
7458826;Hoppet;85035;Hoppet;Hoppet;;;;;
7458383;Hornnäs;83069;Hornnäs;Hornnäs;;;;;
7458277;Horrsjöhyttan;82052;Horrsjöhyttan;Horrsjöhyttan;;;;;
7458278;Horrsjön;82053;Horrsjön;Horrsjön;;;;;
7458586;Hortan;84138;Hortan;Hortan;;;;;
7410616;Hovilsrud;30027;Hovilsrud;Hovilsrud;;;;;
7425757;Hovlanda;61040;Hovlanda;Hovlanda;;;;;
7410622;Hult;81058;Hult (Visnum);Hult (Visnum);;;;;
7458188;Hultbyvägen;81311;Hultbyvägen;Hultbyvägen;;;;;
7457833;Hulteby;80505;Hulteby;Hulteby;;;;;
7458014;Hultsvägen;81059;Hultsvägen;Hultsvägen;;;;;
7458587;Hungvik;84139;Hungvik;Hungvik;;;;;
7422349;Hynboholm väg 61;80507;Hynboholm riksväg 61;Hynboholm riksväg 61;37118;Hålvägen;Hålvägen;;
7411301;Hynboholmsmotet;80662;Hynboholmsmotet;Hynboholmsmotet;;;;;
7457436;Hån Affären;65068;Hån Affären;Hån Affären;;;;;
7425760;Hån Långvassdalsvägen;65018;Hån Långvassdalsvägen;Hån Långvassdalsvägen;;;;;
7410641;Hån tullstation;65019;Hån Tullstation;Hån Tullstation;;;;;
7422282;Häljeboda;30028;Häljeboda;Häljeboda;;;;;
7458827;Häljebol;85036;Häljebol;Häljebol;98006;Hällefors Bjässevägen;Hällefors Bjässevägen;;
7458828;Häljebol skola;85037;Häljebol skola;Häljebol skola;;;;;
7421195;Hällefors Klockarhagsskolan;98017;Hällefors Klockarhagsskolan;Hällefors Klockarhagsskolan;98018;Hällefors Finnbergsvägen;Hällefors Finnbergsvägen;;
7450778;Hällefors Kyllervägen;98008;Hällefors Kyllervägen;Hällefors Kyllervägen;98009;Hällefors Schillingvägen;Hällefors Schillingvägen;;
7400419;Hällefors station;98005;Hällefors busstationen;Hällefors busstationen;98010;Hällefors Silvergruvsvägen;Hällefors Silvergruvsvägen;;
7404302;Hällsbäck;85038;Hällsbäck;Hällsbäck;98011;Hällefors Svartälvsvägen;Hällefors Svartälvsvägen;;
7457457;Hällserud;66029;Hällserud;Hällserud;61041;Hälltorp;Hälltorp;;
7410659;Hämnäs skola;65020;Hämnäs skola;Hämnäs skola;;;;;
7457836;Härtsögavägen;80510;Härtsögavägen;Härtsögavägen;;;;;
7458017;Hästås;81062;Hästås;Hästås;;;;;
7410672;Hög;85039;Hög;Hög;;;;;
7457159;Högbacka torg;37138;Högbacka torg;Högbacka torg;;;;;
7410674;Högberg;66030;Högberg (Östra Ämtervik);Högberg (Östra Ämtervik);;;;;
7456942;Högboda Gård;15021;Högboda Gård;Högboda Gård;;;;;
7400418;Högboda station;15023;Högboda station;Högboda station;;;;;
7422300;Högboda väg 61;15022;Högboda infarten;Högboda infarten;;;;;
7458588;Höge;84140;Höge;Höge;;;;;
7410676;Högelian;65021;Högelian;Högelian;;;;;
7422264;Högfors;66031;Högfors;Högfors;;;;;
7410682;Högsäter;85040;Högsäter;Högsäter;;;;;
7458590;Högvalta Rv 61;84142;Högvalta Riksväg 61;Högvalta Riksväg 61;;;;;
7458591;Högvalta vägen;84143;Högvalta vägen;Högvalta vägen;;;;;
7457837;Högåsen;80511;Högåsen (Molkom);Högåsen (Molkom);;;;;
7458227;Höjdängsvägen;81414;Höjdängsvägen;Höjdängsvägen;;66136;Höjen (Sunne);Höjen (Sunne);
7424606;Höje affären;83073;Höje affären;Höje affären;;;;;
7458830;Hökevägen;85041;Hökevägen;Hökevägen;;;;;
7458279;Hökhöjden;82054;Hökhöjden;Hökhöjden;;;;;
7457078;Höljes Båstadsbergsväge;37031;Höljes Båstadsbergsvägen;Höljes Båstadsbergsvägen;;;;;
7400808;Höljes Handel;37029;Höljes Handel;Höljes Handel;;;;;
7458592;Hönacka;84144;Hönacka;Hönacka;;;;;
7457154;Höviken;37133;Höviken;Höviken;;80513;Ilanda bytespunkt;Ilanda bytespunkt;
7457891;Ilanda Gård;80634;Ilanda Gård;Ilanda Gård;;;;;
7458594;Ingersby;84146;Ingersby;Ingersby;;;;;
7458734;Ingersbyvägen;84321;Ingersbyvägen;Ingersbyvägen;;;;;
7458729;Ingestrandsvägen;84316;Ingestrandsvägen;Ingestrandsvägen;;;;;
7401414;Ingmår station;66032;Ingmårs station;Ingmårs station;;;;;
7401413;Ivarsbjörke station;66033;Ivarsbjörke station;Ivarsbjörke station;;;;;
7458463;Jaktskyttebanan;83186;Jaktskyttebanan;Jaktskyttebanan;;;;;
7450781;Jeppetorp;98012;Jeppetorp;Jeppetorp;;;;;
7457309;Jonsbol;62003;Jonsbol (Ransäter);Jonsbol (Ransäter);;;;;
7457273;Jonsbol Lövnäsleden;61042;Jonsbol Lövnäsleden (Hammarö);Jonsbol Lövnäsleden (Hammarö);;;;;
7457259;Jonsbol Nolgårdsvägen;61019;Jonsbol Nolgårdvägen;Jonsbol Nolgårdvägen;;;;;
7433043;Jonsbol Skoghallsleden;61007;Jonsbol Skoghallsleden;Jonsbol Skoghallsleden;;;;;
7457253;Jonsbolsvägen;61009;Jonsbolsvägen;Jonsbolsvägen;;;;;
7424625;Jordkullen;60019;Jordkullen;Jordkullen;;;;;
7458018;Jutviksvägen;81065;Jutviksvägen;Jutviksvägen;;;;;
7457438;Jämnemon;65070;Jämnemon;Jämnemon;;;;;
7458019;Jämnåsen;81069;Jämnåsen;Jämnåsen;;;;;
7458831;Järnerudsvägen;85042;Järnerudsvägen;Järnerudsvägen;;;;;
7410731;Järnskog kyrka;30030;Järnskogs kyrka;Järnskogs kyrka;;;;;
7449751;Järnverket Degerfors;87060;Järnverket Degerfors;Järnverket Degerfors;;;;;
7457954;Järpetan;80773;Järpetan;Järpetan;;;;;
7458020;Järsberg;81071;Järsberg;Järsberg;;;;;
7458021;Jästa;81073;Jästa;Jästa;;;;;
7458387;Jönsstugan;83074;Jönsstugan;Jönsstugan;;;;;
7458601;Jössefors;84152;Jössefors Brukshandeln;Jössefors Brukshandeln;;;;;
7458598;Jössefors Brukshandeln;84153;Jössefors Folkets Hus;Jössefors Folkets Hus;;;;;
7458599;Jössefors Folkets Hus;84154;Jössefors Församlingshemmet;Jössefors Församlingshemmet;;;;;
7458600;Jössefors Församlingshe;84156;Jössefors Herrgården;Jössefors Herrgården;;;;;
7458602;Jössefors Herrgården;84155;Jössefors Kiosken;Jössefors Kiosken;;;;;
7458280;Kalhyttan;82055;Kalhyttan;Kalhyttan;;;;;
7410742;Kallskog;85043;Kallskog;Kallskog;;;;;
7410743;Kallviken;84157;Kallviken;Kallviken;;;;;
7458232;KaMeWa;81419;KaMeWa;KaMeWa;;;;;
7458233;Karaby gård;81420;Karaby gård;Karaby gård;;;;;
7422203;Karlanda kyrka;65023;Karlanda kyrka;Karlanda kyrka;;;;;
7458833;Karlberg;85044;Karlberg (Gillberga);Karlberg (Gillberga);;;;;
7457386;Karlsbergsgärdet;64027;Karlsbergsgärdet;Karlsbergsgärdet;;;;;
7456975;Karlsbol;15062;Karlsbol;Karlsbol;;;;;
